,Strain_ID,name,value MRS,,,,Strain.ID,name,value HB,,,value MRS,value HB
117,Luteibacter_BM7,Pseudomonas_putida_KT2442,0,,,117,Luteibacter_BM7,Pseudomonas_putida_KT2442,-2,,,0,-2
118,Luteibacter_BM7,Sphingobium_Z2,0,,,118,Luteibacter_BM7,Sphingobium_Z2,NA,,,0,NA
119,Luteibacter_BM7,Streptomyces_RCH20P,-2,,,119,Luteibacter_BM7,Streptomyces_RCH20P,NA,,,-2,NA
120,Luteibacter_BM7,Variovax_RPC5,0,,,120,Luteibacter_BM7,Variovax_RPC5,1,,,0,1
121,Methylobacterium_RPE3,Bacillus_SCH24,0,,,121,Methylobacterium_RPE3,Bacillus_SCH24,-10,,,0,-10
122,Methylobacterium_RPE3,Burkholderia_RCH25,-2,,,122,Methylobacterium_RPE3,Burkholderia_RCH25,-4,,,-2,-4
123,Methylobacterium_RPE3,Cellulosimicrobium_BM1,1,,,123,Methylobacterium_RPE3,Cellulosimicrobium_BM1,0,,,1,0
124,Methylobacterium_RPE3,Chryseobacterium_SCH11,3,,,124,Methylobacterium_RPE3,Chryseobacterium_SCH11,0,,,3,0
125,Methylobacterium_RPE3,Dyadobacter_BM9,2,,,125,Methylobacterium_RPE3,Dyadobacter_BM9,0,,,2,0
126,Methylobacterium_RPE3,Ensifer_BM17,0,,,126,Methylobacterium_RPE3,Ensifer_sp,0,,,0,0
127,Methylobacterium_RPE3,Exiguobacterium_RDH25,0,,,127,Methylobacterium_RPE3,Exiguobacterium_RDH25,4,,,0,4
128,Methylobacterium_RPE3,Luteibacter_BM7,2,,,128,Methylobacterium_RPE3,Luteibacter_BM7,0,,,2,0
129,Methylobacterium_RPE3,Methylobacterium_RPE3,0,,,129,Methylobacterium_RPE3,Methylobacterium_RPE3,0,,,0,0
130,Methylobacterium_RPE3,Microbacterium_BM4,0,,,130,Methylobacterium_RPE3,Microbacterium_BM4,0,,,0,0
131,Methylobacterium_RPE3,Paenibacillus_E12,0,,,131,Methylobacterium_RPE3,Paenibacillus_E12,0,,,0,0
132,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,0,,,132,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,0,,,0,0
133,Methylobacterium_RPE3,Sphingobium_Z2,0,,,133,Methylobacterium_RPE3,Sphingobium_Z2,0,,,0,0
134,Methylobacterium_RPE3,Streptomyces_RCH20P,-2,,,134,Methylobacterium_RPE3,Streptomyces_RCH20P,0,,,-2,0
135,Methylobacterium_RPE3,Variovax_RPC5,0,,,135,Methylobacterium_RPE3,Variovax_RPC5,-2,,,0,-2
136,Microbacterium_BM4,Bacillus_SCH24,0,,,136,Microbacterium_BM4,Bacillus_SCH24,NA,,,0,NA
137,Microbacterium_BM4,Burkholderia_RCH25,-2,,,137,Microbacterium_BM4,Burkholderia_RCH25,-2,,,-2,-2
138,Microbacterium_BM4,Cellulosimicrobium_BM1,0,,,138,Microbacterium_BM4,Cellulosimicrobium_BM1,NA,,,0,NA
139,Microbacterium_BM4,Chryseobacterium_SCH11,0,,,139,Microbacterium_BM4,Chryseobacterium_SCH11,NA,,,0,NA
140,Microbacterium_BM4,Dyadobacter_BM9,0,,,140,Microbacterium_BM4,Dyadobacter_BM9,NA,,,0,NA
