"","Strain_ID","name","value","Lawn","Spot","MediaTime","Media","Fe","Time","Dataset"
"67","Ensifer_sp","Sphingobium_Z2",0,"Ensifer_sp","Sphingobium_Z2","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"68","Ensifer_sp","Exiguobacterium_RDH25",0,"Ensifer_sp","Exiguobacterium_RDH25","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"69","Ensifer_sp","Bacillus_SCH24",0,"Ensifer_sp","Bacillus_SCH24","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"70","Ensifer_sp","Paenibacillus_E12",-1,"Ensifer_sp","Paenibacillus_E12","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"71","Ensifer_sp","Cellulosimicrobium_BM1",0,"Ensifer_sp","Cellulosimicrobium_BM1","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"72","Ensifer_sp","Microbacterium_BM4",0,"Ensifer_sp","Microbacterium_BM4","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"73","Ensifer_sp","Streptomyces_RCH20P",0,"Ensifer_sp","Streptomyces_RCH20P","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"74","Ensifer_sp","Dyadobacter_BM9",5,"Ensifer_sp","Dyadobacter_BM9","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"75","Ensifer_sp","Chryseobacterium_SCH11",-1,"Ensifer_sp","Chryseobacterium_SCH11","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"76","Methylobacterium_RPE3","Pseudomonas_putida_KT2442",-1,"Methylobacterium_RPE3","Pseudomonas_putida_KT2442","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"77","Methylobacterium_RPE3","Luteibacter_BM7",1,"Methylobacterium_RPE3","Luteibacter_BM7","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"78","Methylobacterium_RPE3","Variovax_RPC5",0,"Methylobacterium_RPE3","Variovax_RPC5","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"79","Methylobacterium_RPE3","Burkholderia_RCH25",-4,"Methylobacterium_RPE3","Burkholderia_RCH25","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
