,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Fe,Time,Dataset
696,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Burkholderia_RCH25,Chryseobacterium_SCH11,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
47,Burkholderia_RCH25,Chryseobacterium_SCH11,1,Burkholderia_RCH25,Chryseobacterium_SCH11,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
272,Burkholderia_RCH25,Chryseobacterium_SCH11,1,Burkholderia_RCH25,Chryseobacterium_SCH11,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
472,Burkholderia_RCH25,Dyadobacter_BM9,0,Burkholderia_RCH25,Dyadobacter_BM9,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
697,Burkholderia_RCH25,Dyadobacter_BM9,0,Burkholderia_RCH25,Dyadobacter_BM9,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
46,Burkholderia_RCH25,Dyadobacter_BM9,1,Burkholderia_RCH25,Dyadobacter_BM9,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
271,Burkholderia_RCH25,Dyadobacter_BM9,0,Burkholderia_RCH25,Dyadobacter_BM9,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
480,Burkholderia_RCH25,Ensifer_sp,0,Burkholderia_RCH25,Ensifer_sp,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
705,Burkholderia_RCH25,Ensifer_sp,0,Burkholderia_RCH25,Ensifer_sp,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
60,Burkholderia_RCH25,Ensifer_sp,0,Burkholderia_RCH25,Ensifer_sp,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
285,Burkholderia_RCH25,Ensifer_sp,-1,Burkholderia_RCH25,Ensifer_sp,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
473,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Burkholderia_RCH25,Exiguobacterium_RDH25,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
698,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Burkholderia_RCH25,Exiguobacterium_RDH25,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
53,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Burkholderia_RCH25,Exiguobacterium_RDH25,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
278,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Burkholderia_RCH25,Exiguobacterium_RDH25,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
479,Burkholderia_RCH25,Luteibacter_BM7,0,Burkholderia_RCH25,Luteibacter_BM7,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
704,Burkholderia_RCH25,Luteibacter_BM7,0,Burkholderia_RCH25,Luteibacter_BM7,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
59,Burkholderia_RCH25,Luteibacter_BM7,1,Burkholderia_RCH25,Luteibacter_BM7,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
284,Burkholderia_RCH25,Luteibacter_BM7,1,Burkholderia_RCH25,Luteibacter_BM7,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
470,Burkholderia_RCH25,Methylobacterium_RPE3,0,Burkholderia_RCH25,Methylobacterium_RPE3,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
695,Burkholderia_RCH25,Methylobacterium_RPE3,2,Burkholderia_RCH25,Methylobacterium_RPE3,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
51,Burkholderia_RCH25,Methylobacterium_RPE3,0,Burkholderia_RCH25,Methylobacterium_RPE3,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
276,Burkholderia_RCH25,Methylobacterium_RPE3,0,Burkholderia_RCH25,Methylobacterium_RPE3,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
478,Burkholderia_RCH25,Microbacterium_BM4,0,Burkholderia_RCH25,Microbacterium_BM4,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
703,Burkholderia_RCH25,Microbacterium_BM4,0,Burkholderia_RCH25,Microbacterium_BM4,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
58,Burkholderia_RCH25,Microbacterium_BM4,0,Burkholderia_RCH25,Microbacterium_BM4,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
283,Burkholderia_RCH25,Microbacterium_BM4,0,Burkholderia_RCH25,Microbacterium_BM4,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
475,Burkholderia_RCH25,Paenibacillus_E12,1,Burkholderia_RCH25,Paenibacillus_E12,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
700,Burkholderia_RCH25,Paenibacillus_E12,1,Burkholderia_RCH25,Paenibacillus_E12,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
55,Burkholderia_RCH25,Paenibacillus_E12,1,Burkholderia_RCH25,Paenibacillus_E12,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
280,Burkholderia_RCH25,Paenibacillus_E12,1,Burkholderia_RCH25,Paenibacillus_E12,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
466,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-2,Burkholderia_RCH25,Pseudomonas_putida_KT2442,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
691,Burkholderia_RCH25,Pseudomonas_putida_KT2442,0,Burkholderia_RCH25,Pseudomonas_putida_KT2442,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
48,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-3,Burkholderia_RCH25,Pseudomonas_putida_KT2442,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
273,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-3,Burkholderia_RCH25,Pseudomonas_putida_KT2442,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
476,Burkholderia_RCH25,Sphingobium_Z2,0,Burkholderia_RCH25,Sphingobium_Z2,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
701,Burkholderia_RCH25,Sphingobium_Z2,0,Burkholderia_RCH25,Sphingobium_Z2,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
56,Burkholderia_RCH25,Sphingobium_Z2,0,Burkholderia_RCH25,Sphingobium_Z2,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
281,Burkholderia_RCH25,Sphingobium_Z2,0,Burkholderia_RCH25,Sphingobium_Z2,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
468,Burkholderia_RCH25,Streptomyces_RCH20P,0,Burkholderia_RCH25,Streptomyces_RCH20P,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
693,Burkholderia_RCH25,Streptomyces_RCH20P,0,Burkholderia_RCH25,Streptomyces_RCH20P,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
52,Burkholderia_RCH25,Streptomyces_RCH20P,-2,Burkholderia_RCH25,Streptomyces_RCH20P,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
277,Burkholderia_RCH25,Streptomyces_RCH20P,-2,Burkholderia_RCH25,Streptomyces_RCH20P,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
469,Burkholderia_RCH25,Variovax_RPC5,0,Burkholderia_RCH25,Variovax_RPC5,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
694,Burkholderia_RCH25,Variovax_RPC5,0,Burkholderia_RCH25,Variovax_RPC5,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
