Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_RDP22,Pseudomonas_RDP27,Pseudomonas_E5,Pseudomonas_RP5,Luteibacter_BM7,Lysobacter_BM12,Stenotrophomonas_BM25,Dyella_R23,Rhodanobacteraceae_S20,Enterobacter_RPA1,Variovax_RPC5,Massilia_SH9,Burkholderia_RCH25,Ensifer_E15,Ensifer_BM23,Agrobacterium_E4,Methylobacterium_RPE3,Sphingobium_Z2,Exiguobacterium_RDH25,Bacillus_SCH24,Paenibacillus_E12,Nocardioides_BM13,Cellulosimicrobium_BM1,Micrococcus_SCH4,Microbacterium_BM4,Arthrobacter_RDH6,Streptomyces_RCH20P,Streptomyces_BM16,Hymenobacter_RP5H,Dyadobacter_BM9,Chryseobacterium_SCH11
Enterobacter_RPA1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0
Variovax_RPC5,-1,0,-1,-2,-2,0,-2,5,2,2,-1,-3,-1,-6,1,1,-2,1,-1,-3,-8,-2,2,2,-2,-1,-1,-1,1,-1,-2,-1
Massilia_SH9,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,-2,-1,0,0,0,0
Burkholderia_RCH25,-2,-1,-1,-1,-2,-2,-2,-3,0,0,-1,0,-1,0,-1,-1,0,0,-2,-1,-1,-1,-1,0,-3,0,-4,-2,-1,-1,-1,-1
Ensifer_E15,-2,-1,0,-2,-2,0,6,-1,2,2,-2,0,0,-3,3,-2,0,-2,0,-1,-2,-1,-1,0,-2,0,-1,-2,-2,-5,0,0
Ensifer_BM23,-1,-1,-2,-4,-2,0,3,1,3,1,-1,0,3,-3,3,-2,3,0,4,0,-5,-1,-2,-1,-2,-2,-1,-1,-1,-1,0,0
Agrobacterium_E4,-2,0,-1,-1,-1,0,0,0,-2,-2,0,0,3,-3,-1,-2,-2,0,-3,-4,-10,-1,-1,-1,-1,-2,-1,-1,-1,0,0,0
Methylobacterium_RPE3,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-5,0,0,-1,0,0,0,0,-1,0,0,NA,0,0,-1,-1,0,0,0
Sphingobium_Z2,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,-2,0,0,0,0,-1,-1,0,0,0,3,0,-1,-1,-1,0,0,0,0
Exiguobacterium_RDH25,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-4,-1,1,1,0,1
Bacillus_SCH24,-1,-1,-2,-1,0,0,0,0,1,1,0,0,-1,-2,-1,-1,0,0,2,0,0,2,0,0,0,0,-3,-7,-1,0,0,0
Paenibacillus_E12,8,4,4,5,5,6,-1,6,3,7,6,5,10,-1,2,3,4,2,3,-2,-1,3,7,2,5,3,-3,-6,1,3,2,5
Nocardioides_BM13,-2,-1,-1,-2,-2,0,3,3,0,2,0,0,0,-2,1,2,1,2,0,0,-3,0,0,0,0,1,-4,-1,0,0,0,0
Cellulosimicrobium_BM1,0,-2,1,-4,-2,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,-3,-4,-2,0,0,0
Micrococcus_SCH4,-2,-3,-2,-2,-2,0,0,0,0,0,-2,0,1,-3,0,0,-2,0,0,0,-4,0,-1,0,-2,0,-4,-6,-4,0,0,0
Microbacterium_BM4,-2,-4,-2,-5,-4,0,0,0,0,0,-2,-2,3,-5,0,-2,-2,0,0,0,0,0,-3,-1,0,0,-5,-7,-5,0,0,1
Arthrobacter_RDH6,-2,0,-2,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-4,0,-2,NA,0,0,-1,-2,-2,0,0,1
Streptomyces_RCH20P,-2,-2,-4,-4,-4,0,-4,-3,1,-2,0,0,2,-2,0,0,1,-1,0,0,-2,1,0,0,-2,0,-3,0,-2,0,0,0
Streptomyces_BM16,-2,-3,-3,-3,-3,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,-1,-4,-2,0,0,0,0,-2,-3,0,0,0,0
Hymenobacter_RP5H,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-4,-10,-4,0,0,0
Dyadobacter_BM9,0,-2,0,-1,0,0,0,-2,-1,0,0,0,0,-4,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-5,0,0,0,0
Chryseobacterium_SCH11,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,2,0,0,-1,0,-2,-1,-1,0,-1,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
