Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_E-05,Lysobacter_E-22,Luteibacter_E-23,Stenotrophomonas_R-24,Dyella_R-26,Enterobacter_R-25,Variovorax_R-27,Acidovorax_R-28,Massilia_S-14,Massilia_R-31,Ralstonia_R-29,Burkholderia_R-30,Ensifer_E-15,Ensifer_R-19,Agrobacterium_E-04,Methylobacterium_R-20,Sphingobium_R-21,Exiguobacterium_R-17,Bacillus_S-18,Paenibacillus_E-12,Nocardioides_E-09,Cellulosimicrobium_E-16,Micrococcus_S-10,Microbacterium_E-13,Arthrobacter_R-11,Streptomyces_R-07,Streptomyces_E-08,Hymenobacter_R-03,Dyadobacter_E-01,Chryseobacterium_S-02,Pedobacter_R-06
Massilia_R-31,0,0,0,0,-2,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-1,0,0,0,0
Ralstonia_R-29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0
Burkholderia_R-30,-2,-2,0,-1,-1,0,0,0,-2,-2,0,-1,-2,-2,-2,-1,0,0,0,-1,0,-1,-1,0,0,-2,-1,0,-1,0,0,0
Ensifer_E-15,-1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,1,-3,-1,0,-1,-1,1,-1,-1,-1,1,0,0,0
Ensifer_R-19,1,0,1,0,-2,1,-1,0,0,5,10,-1,-2,-2,0,-1,1,1,1,-7,3,-1,5,1,0,0,4,-1,0,0,0,0
Agrobacterium_E-04,-2,-2,0,-1,0,0,-2,0,0,0,0,0,-1,-2,-2,-2,0,0,0,-2,-1,-1,0,0,0,-1,-3,0,-2,0,0,0
Methylobacterium_R-20,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-4,0,0,0,0,0,-1,-2,-1,-1,0,0,0
Sphingobium_R-21,0,0,0,0,0,0,0,1,0,1,1,-1,-1,0,0,0,0,0,0,-1,1,0,-1,0,0,-1,-1,2,-1,0,0,0
Exiguobacterium_R-17,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-3,0,0,0,0,0,-5,-1,0,0,0,1,0
Bacillus_S-18,0,2,-1,0,-1,0,0,0,2,-1,0,-1,-1,0,-2,0,0,1,1,0,0,0,0,0,0,-3,-4,-1,0,0,0,0
Paenibacillus_E-12,5,6,5,4,5,7,5,4,7,8,5,-1,-1,3,3,6,7,6,4,5,3,5,0,10,6,-2,-3,3,4,-4,7,4
Nocardioides_E-09,2,0,1,1,0,1,0,0,1,0,0,-1,-1,1,1,1,0,1,0,-9,-1,0,1,1,1,-4,-5,-1,-2,0,-2,0
Cellulosimicrobium_E-16,0,1,1,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,-2,-1,-1,0,0,0,-4,-3,-3,0,0,0,0
Micrococcus_S-10,0,-4,0,1,-4,0,-3,0,-4,0,-3,-2,-1,0,0,-2,0,0,0,-6,-1,-1,0,-3,0,-5,-5,-1,0,0,0,0
Microbacterium_E-13,-1,0,0,0,0,0,0,-1,0,1,1,-5,-3,-1,0,0,0,0,0,-2,-1,-4,0,0,0,-4,-5,-1,0,0,0,-1
Arthrobacter_R-11,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,-4,-1,-2,0,0,0,0,-3,-1,1,0,0,0
Streptomyces_R-07,0,-3,4,0,0,1,4,0,2,4,2,-10,-10,1,1,1,0,0,0,-7,2,0,3,-3,0,-3,-4,-3,0,0,-1,-1
Streptomyces_E-08,0,-1,0,-3,-2,0,0,1,0,1,-3,-5,-8,0,0,0,0,0,-4,-5,1,0,0,-1,0,-2,-2,0,0,0,0,-2
Hymenobacter_R-03,-2,-2,0,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-1,0,0,0,-3,-1,-1,-1,0,0,-1,-10,-3,0,2,-1,0
Dyadobacter_E-01,0,0,0,0,-2,-1,1,0,1,-1,1,1,-1,1,0,0,1,0,-1,0,1,0,0,0,0,-2,-4,1,0,0,0,0
Chryseobacterium_S-02,0,-1,0,-1,-1,0,0,0,-1,0,1,0,-1,-1,-1,0,0,0,-1,-2,0,0,0,0,-1,-2,-1,-1,0,0,-1,0
Pedobacter_R-06,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,-2,-2,0,0,-1,-1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
