Strain_ID,Pseudomonas_putida_KT2442,Pedobacter_R06,Pseudomonas_E05,Acidovorax_R28,Ralstonia_R29,Luteibacter_E22,Lysobacter_E23,Stenotrophomonas_R24,Dyella_R26,Massilia_R31,Enterobacter_R25,Variovorax_R27,Massilia_S14,Burkholderia_R30,Ensifer_E15,Ensifer_R19,Agrobacterium_E04,Methylobacterium_R20,Sphingobium_R21,Exiguobacterium_R17,Bacillus_S18,Paenibacillus_E12,Nocardioides_E09,Cellulosimicrobium_E16,Micrococcus_S10,Microbacterium_E13,Arthrobacter_R11,Streptomyces_R07,Streptomyces_E08,Hymenobacter_R03,Dyadobacter_E01,Chryseobacterium_S02
Paenibacillus_E12,0,0,-10,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-6,0,0,0,-1
Nocardioides_E09,-1,0,-5,0,0,0,0,0,0,2,0,0,1,-1,0,0,0,0,0,2,-1,-1,0,1,1,0,-2,-4,0,-1,0,-1
Cellulosimicrobium_E16,1,0,-10,-2,-1,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,-3,-2,0,-1,0,0,-2,-2,0,0,0,0
Micrococcus_S10,-2,0,-1,0,-1,0,0,0,2,1,0,0,1,-1,0,0,0,0,0,0,-8,-1,-1,0,0,0,-3,-4,0,0,0,-1
Microbacterium_E13,-7,0,-10,-2,-1,0,0,0,0,1,0,0,1,-9,0,0,0,0,0,0,-6,-4,0,0,0,0,-2,-10,0,0,0,-1
Arthrobacter_R11,-1,0,-3,0,-1,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,-2,-1,-1,0,0,0,-1,-5,0,-2,0,-1
Streptomyces_R07,-1,0,-1,0,-1,1,1,0,0,0,0,-1,0,-5,-1,-1,0,0,0,0,-2,1,0,0,-1,1,-2,0,-2,0,0,-1
Streptomyces_E08,0,0,0,0,-1,-2,-1,-1,0,0,-4,0,0,-5,0,0,-2,0,0,0,-2,0,0,0,0,0,-1,-3,0,0,0,-1
Hymenobacter_R03,-3,0,-5,0,-1,0,0,0,0,4,0,0,1,-6,0,0,0,0,0,0,-7,0,0,0,0,0,-2,-10,1,0,0,0
Dyadobacter_E01,0,0,-2,0,0,0,0,0,0,0,0,0,1,-6,0,0,0,0,3,0,-3,-1,0,0,0,0,-2,-9,2,0,0,0
Chryseobacterium_S02,-2,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-2,-1,0,0,0,0,-1,-1,0,0,0,0
