Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_E05,Luteibacter_E22,Lysobacter_E23,Stenotrophomonas_R24,Dyella_R26,Enterobacter_R25,Variovorax_R27,Acidovorax_R28,Massilia_S14,Massilia_R31,Ralstonia_R29,Burkholderia_R30,Ensifer_E15,Ensifer_R19,Agrobacterium_E04,Methylobacterium_R20,Sphingobium_R21,Exiguobacterium_R17,Bacillus_S18,Paenibacillus_E12,Nocardioides_E09,Cellulosimicrobium_E16,Micrococcus_S10,Microbacterium_E13,Arthrobacter_R11,Streptomyces_R07,Streptomyces_E08,Hymenobacter_R03,Dyadobacter_E01,Chryseobacterium_S02,Pedobacter_R06
Ralstonia_R29,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
Burkholderia_R30,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Ensifer_E15,1,1,0,3,0,0,-1,0,1,0,1,0,-1,0,0,0,0,1,-2,-5,-3,0,0,-1,1,-1,-1,0,1,0,-2,-4
Ensifer_R19,1,1,0,0,-2,1,-3,0,0,5,-2,0,-1,-2,0,1,1,0,-2,-10,1,-1,2,0,0,1,-2,-2,1,0,2,0
Agrobacterium_E04,-2,-1,0,0,0,0,-2,0,0,0,0,0,-3,-2,-2,-2,0,0,0,-2,-1,-1,0,0,0,-2,0,0,-3,0,0,0
Methylobacterium_R20,-1,0,1,0,0,0,1,0,0,0,0,-2,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0
Sphingobium_R21,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Exiguobacterium_R17,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,0,0,-4,0,0,0,0,1,0
Bacillus_S18,0,0,0,0,0,0,0,0,3,-1,0,3,-1,0,0,0,0,1,1,0,0,0,0,0,0,-3,-4,0,0,0,0,0
Paenibacillus_E12,5,8,4,4,5,10,4,0,4,7,5,5,7,3,5,3,3,6,7,4,5,5,0,10,5,-2,-2,0,3,0,6,4
Nocardioides_E09,1,0,1,1,0,0,1,0,1,0,0,1,-1,1,1,1,2,1,3,-7,-1,0,1,-1,0,-4,-5,-1,-2,0,-3,1
Cellulosimicrobium_E16,0,1,1,0,1,0,0,0,0,2,0,1,-1,0,0,0,0,0,0,-2,0,0,0,0,0,-4,-3,-4,0,0,0,0
Micrococcus_S10,0,-4,0,1,-4,0,-4,0,-3,1,0,-2,-1,0,0,-1,0,0,0,-7,-1,0,0,-2,0,-5,-6,-1,0,0,0,0
Microbacterium_E13,-1,0,0,1,1,0,0,0,0,2,1,-4,-3,-1,0,0,0,0,0,-3,-1,-3,0,0,0,-4,-5,0,0,0,0,-1
Arthrobacter_R11,0,0,0,1,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,1,-4,-1,-2,2,0,0,0,-3,-1,1,0,1,0
Streptomyces_R07,-1,3,3,-1,-1,0,3,0,0,0,0,-10,-9,0,0,0,0,0,-3,-8,2,0,3,0,0,-3,0,-3,0,0,2,-1
Streptomyces_E08,-1,1,-2,-1,-1,0,0,0,0,-5,0,-4,-9,0,0,0,0,0,-3,-3,1,0,1,0,0,-2,0,0,0,0,1,0
Hymenobacter_R03,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,-10,1,0,3,0,0
Dyadobacter_E01,0,0,0,0,-2,0,1,0,0,0,2,2,-1,0,0,0,2,1,-2,0,1,0,0,0,0,-2,-4,0,0,0,0,0
Chryseobacterium_S02,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-2,0,0,0,0,-1,-2,0,0,-1,0,-1,0
Pedobacter_R06,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-2,0,0,-1,0,0,-2,-2,1,0,0,-1,0
