,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Time,TrialFinal
172,Luteibacter_BM7,Burkholderia_RCH25,-2,Luteibacter_BM7,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
175,Luteibacter_BM7,Cellulosimicrobium_BM1,0,Luteibacter_BM7,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
179,Luteibacter_BM7,Chryseobacterium_SCH11,0,Luteibacter_BM7,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
178,Luteibacter_BM7,Dyadobacter_BM9,0,Luteibacter_BM7,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
168,Luteibacter_BM7,Ensifer_sp,0,Luteibacter_BM7,Ensifer_sp,R2A-96h,R2A,96h,Trial
173,Luteibacter_BM7,Exiguobacterium_RDH25,0,Luteibacter_BM7,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
177,Luteibacter_BM7,Luteibacter_BM7,0,Luteibacter_BM7,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
171,Luteibacter_BM7,Massilia_sp,1,Luteibacter_BM7,Massilia_sp,R2A-96h,R2A,96h,Trial
180,Luteibacter_BM7,Methylobacterium_RPE3,0,Luteibacter_BM7,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
176,Luteibacter_BM7,Microbacterium_BM4,0,Luteibacter_BM7,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
166,Luteibacter_BM7,Pseudomonas_putida_KT2442,-2,Luteibacter_BM7,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
169,Luteibacter_BM7,Sphingobium_Z2,-5,Luteibacter_BM7,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
167,Luteibacter_BM7,Streptomyces_RCH20P,0,Luteibacter_BM7,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
170,Luteibacter_BM7,Variovax_RPC5,-3,Luteibacter_BM7,Variovax_RPC5,R2A-96h,R2A,96h,Trial
84,Massilia_sp,Bacillus_SCH24,-2,Massilia_sp,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
82,Massilia_sp,Burkholderia_RCH25,-1,Massilia_sp,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
85,Massilia_sp,Cellulosimicrobium_BM1,0,Massilia_sp,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
89,Massilia_sp,Chryseobacterium_SCH11,0,Massilia_sp,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
88,Massilia_sp,Dyadobacter_BM9,0,Massilia_sp,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
78,Massilia_sp,Ensifer_sp,0,Massilia_sp,Ensifer_sp,R2A-96h,R2A,96h,Trial
83,Massilia_sp,Exiguobacterium_RDH25,0,Massilia_sp,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
87,Massilia_sp,Luteibacter_BM7,0,Massilia_sp,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
81,Massilia_sp,Massilia_sp,0,Massilia_sp,Massilia_sp,R2A-96h,R2A,96h,Trial
